Model,AUC,Precision,Recall,F-Score,Test_Accuracy,Train_Accuracy,Training_time,Testing_time
RandomForest,0.838582054,0.719034746,0.677716985,0.697583061,0.760724167,0.999911449,6.1398,0.5791
LinearSVC,0.638230499,0.623751434,0.255639593,0.362585772,0.634006426,0.635095501,2.1298,0.0028
LogisticRegression,0.637668757,0.62800289,0.267839776,0.375453513,0.637147476,0.638267726,0.7543,0.0025
XGBoost,0.840929645,0.719697445,0.66712374,0.692310919,0.758660752,0.873345521,0.6388,0.0064
MLP,0.772005811,0.748175593,0.337138005,0.43730286,0.67516757,0.746810836,19.3171,0.0174
BaggedDT,0.839350248,0.712809988,0.685890212,0.69899814,0.759458081,0.999911449,65.637,1.1532
NaiveBayes,0.641241099,0.377634672,0.013582406,0.026196857,0.589001899,0.589152981,0.0156,0.003
KNN,0.773422323,0.650145521,0.592424287,0.619812701,0.704186565,0.999911449,1.9543,0.2183
