Model,Fold,AUC,Precision,Recall,F-Score,Test_Accuracy,Train_Accuracy,Training_time,Testing_time
LogisticRegression,67,0.650429865,0.612137203,0.267281106,0.372093023,0.632911392,0.637826857,0.654,0.003
XGBoost,68,0.839893627,0.698393078,0.650921659,0.673822302,0.74355368,0.875820398,0.62,0.005
MLP,69,0.772472268,0.79338843,0.221198157,0.345945946,0.659634318,0.747734139,19.748,0.016
BaggedDT,70,0.83530127,0.702380952,0.679723502,0.690866511,0.752461322,0.999895822,66.755,1.223
NaiveBayes,71,0.636008452,0.378378378,0.016129032,0.030939227,0.588842007,0.589488488,0.014,0.003
KNN,72,0.766125845,0.656330749,0.585253456,0.618757613,0.706516643,0.999895822,1.9,0.216
RandomForest,73,0.849152566,0.731767614,0.68202765,0.70602266,0.768870136,0.999895822,6.548,0.443
LinearSVC,74,0.627208976,0.619596542,0.247695853,0.353909465,0.631973746,0.634180644,2.005,0.002
LogisticRegression,75,0.626025938,0.619178082,0.260368664,0.366585564,0.633849039,0.637878946,0.635,0.002
XGBoost,76,0.840902716,0.718078382,0.65437788,0.684749849,0.754805438,0.873945203,0.638,0.008
MLP,77,0.801803246,0.7056,0.508064516,0.590756865,0.713548992,0.747317429,19.982,0.019
BaggedDT,78,0.845238247,0.732377539,0.706221198,0.719061584,0.775433662,0.999895822,66.345,1.203
NaiveBayes,79,0.632294949,0.351351351,0.014976959,0.028729282,0.58790436,0.58901969,0.017,0.003
KNN,80,0.781259904,0.65245478,0.581797235,0.615103532,0.703703704,0.999895822,2.104,0.222
