Model,AUC,Precision,Recall,F-Score,Test_Accuracy,Train_Accuracy,Training_time,Testing_time
RandomForest,0.835603757,0.717715832,0.668970107,0.692449784,0.757958308,0.999911449,3.5309,0.0865
LinearSVC,0.639137266,0.62941576,0.257023407,0.36489756,0.635740721,0.635111123,1.7316,0.0009
LogisticRegression,0.6387812,0.629504773,0.268418729,0.376257462,0.637709625,0.638460447,0.038,0.0009
XGBoost,0.840415114,0.713454459,0.679557386,0.696037814,0.758286045,0.873517416,0.5423,0.0024
MLP,0.769821328,0.726516667,0.373532929,0.465029738,0.677887426,0.720120447,6.5361,0.0043
BaggedDT,0.815346217,0.714812362,0.617406787,0.662438653,0.743847672,0.984654571,0.6356,0.0118
NaiveBayes,0.641413355,0.373995758,0.013351461,0.025762972,0.589095751,0.589142563,0.0142,0.003
KNN,0.720990082,0.607865197,0.561235569,0.583551125,0.67376176,0.782809574,1.7611,0.1977
